Перечень организаций,Uptime сайта,Uptime мобильного приложения,Время недоступности сайта,Время недоступности мобильного приложения,Суммарное время недоступности сервиса
Сбербанк,100.0,99.99,-,Кредиты на любые цели - 2023-06-24 22:48:02 прекращения работы сервиса - 2023-06-24 22:48:10 восстановления работы сервиса,7
Альфа-Банк,100.0,100.0,-,-,0
