Перечень организаций,Uptime сайта,Uptime мобильного приложения,Время недоступности сайта,Время недоступности мобильного приложения,Суммарное время недоступности сервиса
Сбербанк,99.99,100.0,Кредиты на любые цели - 2023-06-24 12:06:33 прекращения работы сервиса - 2023-06-24 12:06:45 восстановления работы сервиса,-,7
Альфа-Банк,100.0,100.0,-,-,0
